question_id,category,difficulty,minutes,question
F001,Foundations,Intermediate,3,"Define a relational table and state its row grain before querying it."
F002,Foundations,Intermediate,3,"Explain primary keys candidate keys and unique constraints."
F003,Foundations,Intermediate,3,"Explain foreign keys and what referential integrity protects."
F004,Foundations,Intermediate,3,"Explain NULL and three-valued logic with one practical pitfall."
F005,Foundations,Intermediate,3,"Compare integer minor units and decimal types for monetary data."
F006,Foundations,Intermediate,3,"Explain normalization in terms of dependencies and update anomalies."
F007,Foundations,Intermediate,3,"Define one-to-many and many-to-many relationships and their keys."
F008,Foundations,Intermediate,3,"Explain why constraints belong in the database as well as application code."
F009,Foundations,Intermediate,3,"Explain transaction atomicity consistency isolation and durability."
F010,Foundations,Intermediate,3,"State when a surrogate key should coexist with a business unique key."
Q011,Query construction,Intermediate,8,"Write a NULL-safe query for customers who have no paid orders."
Q012,Query construction,Intermediate,8,"Return the latest paid order per customer with deterministic tie-breaking."
Q013,Query construction,Intermediate,8,"Explain why a LEFT JOIN can accidentally become an INNER JOIN."
Q014,Query construction,Intermediate,8,"Build a customer summary without multiplying independent child rows."
Q015,Query construction,Intermediate,8,"Return the top three products per category and explain tie policy."
Q016,Query construction,Intermediate,8,"Write stable descending keyset pagination for orders."
Q017,Query construction,Intermediate,8,"Use conditional aggregation to compute several status metrics in one query."
Q018,Query construction,Intermediate,8,"Find products purchased by every customer in a required customer set."
Q019,Query construction,Intermediate,8,"Explain COUNT star versus COUNT column after an outer join."
Q020,Query construction,Intermediate,8,"Design adversarial rows that expose a NOT IN NULL bug."
A021,Analytics,Advanced,10,"Build a running revenue calculation with an explicit window frame."
A022,Analytics,Advanced,12,"Sessionize events with a thirty-minute inactivity boundary."
A023,Analytics,Advanced,12,"Build an ordered view to cart to purchase funnel inside seven days."
A024,Analytics,Advanced,12,"Compute weekly signup cohort retention with a fixed denominator."
A025,Analytics,Advanced,10,"Find consecutive active-day streaks using a gaps-and-islands pattern."
A026,Analytics,Advanced,10,"Compare ROWS RANGE and peer behavior in window functions."
A027,Analytics,Advanced,10,"Calculate a seven-calendar-day moving total including zero-activity days."
A028,Analytics,Advanced,12,"Perform an as-of temporal join using half-open validity intervals."
A029,Analytics,Advanced,10,"Explain why averaging row-level ratios can produce the wrong aggregate ratio."
