challenge_id,category,difficulty,minutes,prompt,expected_features
IQ001,Mixed-grain joins,Intermediate,12,Return one row per customer with lifetime order count and lifetime revenue; include customers with no orders.,customer grain; LEFT JOIN; pre-aggregate order facts; COALESCE
IQ002,Mixed-grain joins,Intermediate,12,"Return one row per order with item count, distinct product count, and total amount without multiplying payment rows.",order grain; separate aggregates; safe joins
IQ003,Mixed-grain joins,Intermediate,10,"List products with units sold and unique buyers during August 2026, including unsold products.",product grain; date half-open range; LEFT JOIN
IQ004,Mixed-grain joins,Intermediate,15,"For each department, show employee count and total completed-order revenue generated by its employees.",department grain; pre-aggregate sales by employee
IQ005,Mixed-grain joins,Intermediate,12,"Find customers whose order count is above the average customer order count, treating zero-order customers explicitly.",customer counts; average over customer grain
IQ006,Mixed-grain joins,Intermediate,14,"Return each customer’s latest order and its total, with deterministic tie-breaking.","ROW_NUMBER; ordered_at DESC, order_id DESC"
IQ007,Mixed-grain joins,Intermediate,12,Show every employee and the number of distinct customers served; preserve employees with zero orders.,LEFT JOIN; COUNT DISTINCT
IQ008,Mixed-grain joins,Intermediate,15,Compare each product’s revenue with its category revenue without double-counting.,product aggregate; window over product rows
IQ009,Grouped reports,Intermediate,10,"Compute monthly order count, gross revenue, refunded revenue, and net revenue.",month grain; conditional aggregation
IQ010,Grouped reports,Intermediate,12,Return regions whose August revenue exceeded July revenue.,conditional aggregation or monthly CTE self-join
IQ011,Grouped reports,Intermediate,10,"Show categories with at least five completed orders and average order value above ₹1,500.",category-order grain; HAVING
IQ012,Grouped reports,Intermediate,10,Find customers who bought from at least three categories.,COUNT DISTINCT; HAVING
IQ013,Grouped reports,Intermediate,12,Produce a status distribution with count and percentage of all orders.,aggregate then window denominator
IQ014,Grouped reports,Intermediate,12,Calculate revenue contribution percentage for each product inside its category.,product aggregate; PARTITION BY category
IQ015,Grouped reports,Intermediate,15,Return days with revenue at least 30% above the trailing seven-day average.,daily aggregate; window frame excluding current
IQ016,Grouped reports,Intermediate,12,Find departments where every active employee has at least one completed order.,double NOT EXISTS or counts with HAVING
IQ017,Subqueries and CTEs,Intermediate,10,Find products priced above their category average.,correlated subquery or category average CTE
IQ018,Subqueries and CTEs,Intermediate,12,Find customers who placed an order in every month present in the dataset.,relational division; double NOT EXISTS or counts
IQ019,Subqueries and CTEs,Intermediate,12,Return orders whose total is above that customer’s average order total.,order totals CTE; window or correlated comparison
IQ020,Subqueries and CTEs,Intermediate,15,Find employees who sold every product in a required product set.,relational division; NOT EXISTS
IQ021,Subqueries and CTEs,Intermediate,12,Identify customers with no completed orders using a NULL-safe anti-join.,NOT EXISTS; avoid NOT IN NULL trap
IQ022,Subqueries and CTEs,Intermediate,15,Build an organization hierarchy with depth and path from the CEO.,recursive CTE; cycle guard
IQ023,Subqueries and CTEs,Intermediate,12,Return the second-highest distinct salary in each department.,DENSE_RANK or correlated distinct count
IQ024,Subqueries and CTEs,Intermediate,15,Find orders containing every product in a named bundle.,relational division; bundle count match
IQ025,Window functions,Intermediate,10,"Rank employees by completed revenue within department, preserving ties.",DENSE_RANK partitioned by department
IQ026,Window functions,Intermediate,12,Compute each customer’s running lifetime spend in chronological order.,SUM window; deterministic order
IQ027,Window functions,Intermediate,12,Show each order amount and difference from the previous order for that customer.,LAG partitioned by customer
IQ028,Window functions,Intermediate,12,"Return the top three products by revenue per category, preserving ties.",DENSE_RANK; top N per group
IQ029,Window functions,Intermediate,14,"Compute rolling 30-day revenue for each calendar day, including zero-revenue days.",calendar series; RANGE/ROWS window
IQ030,Window functions,Intermediate,12,Find the first and last order of each customer.,ROW_NUMBER in opposite directions or FIRST/LAST_VALUE frame
IQ031,Window functions,Intermediate,15,Calculate median order value by region.,percentile_cont or row-number method
