question,strong_answer,example_or_pitfall
What is a database?,"An organized collection of related data managed so it can be stored, validated, queried, changed, secured, and recovered reliably.","Do not define it only as “tables.” A database may contain schemas, constraints, indexes, views, procedures, logs, and metadata."
What is a DBMS?,"Software that creates, stores, queries, protects, and maintains databases. PostgreSQL, MySQL, SQL Server, Oracle Database, and SQLite are DBMS products.",DBMS is the software; a database is the managed data and structures.
What is an RDBMS?,"A DBMS based on the relational model, where facts are represented as relations and connected through keys and constraints.","A relational design depends on declared keys and rules, not merely a grid-shaped display."
What is SQL?,"A declarative language family used to define, query, modify, control, and transact with relational data.",You describe the required result; the optimizer usually chooses the physical execution plan.
"What are DDL, DML, DQL, DCL, and TCL?",DDL defines structure; DML changes rows; DQL queries data; DCL controls privileges; TCL controls transactions.,"Exact category labels vary by textbook and vendor, but CREATE, INSERT, SELECT, GRANT, COMMIT are typical examples."
What is a table?,A named relation whose rows represent facts at one declared grain and whose columns represent attributes of those facts.,"A good answer states the grain: one row per customer, order, or order line."
What is a row?,One tuple or record representing a single fact at the table grain.,"A row in order_lines is one product line within one order, not the whole order."
What is a column?,"A named attribute with a data type, meaning, allowed values, and NULL rule.",“status” is incomplete without permitted states and transitions.
Why do data types matter?,"They constrain valid values, control storage and operators, affect indexes, portability, precision, and application mapping.",Use integer paise or DECIMAL/NUMERIC for money; avoid binary floating point for exact totals.
CHAR versus VARCHAR versus TEXT?,CHAR is fixed length and may pad values; VARCHAR has a declared maximum; TEXT is variable length without a small arbitrary limit in many systems.,"Choose by semantics and vendor behavior, not the belief that VARCHAR is automatically faster."
What is a primary key?,A candidate key chosen as the official row identifier; it must be unique and non-NULL.,A surrogate id can be the primary key while a business key remains UNIQUE.
What is a foreign key?,"A constraint that requires referenced values to exist in a parent candidate key, preserving referential integrity.",It prevents an order from pointing to a nonexistent customer.
Primary key versus UNIQUE?,"Both enforce uniqueness, but a table has one primary-key designation and may have several UNIQUE constraints; NULL behavior differs by engine.",Do not assume every UNIQUE column is non-NULL unless declared NOT NULL.
Natural key versus surrogate key?,A natural key has business meaning; a surrogate key is a technical identifier independent of mutable business text.,Keep stable business uniqueness with UNIQUE even when using a generated id.
"What do NOT NULL, CHECK, DEFAULT, and UNIQUE do?",NOT NULL requires a value; CHECK enforces a predicate; DEFAULT supplies omitted input; UNIQUE prevents duplicate key combinations.,"A DEFAULT does not validate explicit input, and CHECK handling of NULL follows three-valued logic."
What is NULL?,"A marker for missing, unknown, or not-applicable information; it is not zero, an empty string, or the word NULL.",The exact business meaning should be documented per column.
Why does = NULL not work?,"Comparisons with NULL evaluate to UNKNOWN, so use IS NULL or IS NOT NULL.",WHERE value = NULL returns no TRUE rows.
How do aggregate functions treat NULL?,COUNT(column) ignores NULL; COUNT(*) counts rows; most aggregates ignore NULL inputs but may return NULL when no non-NULL input exists.,"COALESCE can change semantics, so apply it deliberately."
What is COALESCE?,A standard expression returning the first non-NULL argument.,"COALESCE(discount, 0) is valid only when missing discount truly means zero."
What is three-valued logic?,"SQL predicates may be TRUE, FALSE, or UNKNOWN; WHERE retains only TRUE rows.","NOT UNKNOWN is still UNKNOWN, which matters in nullable predicates and CHECK constraints."
What is the logical order of a SELECT query?,"Conceptually FROM/JOIN, WHERE, GROUP BY, HAVING, SELECT, DISTINCT, ORDER BY, then limiting. Optimizers may execute physically in another order.",This explains why a SELECT alias often cannot be used in WHERE.
WHERE versus HAVING?,WHERE filters input rows before grouping; HAVING filters groups after aggregation.,Use WHERE for order_date and HAVING for SUM(total) > 10000.
Why is ORDER BY required for deterministic output?,"Without ORDER BY, SQL does not promise row order, even when results appear stable in one run.","Add a unique tie-breaker such as ORDER BY created_at, id."
