id,category,difficulty,time_minutes,scenario,must_cover,common_trap,verification
1,Design,Senior,12,"Senior database case 1: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
2,Design,Senior,12,"Senior database case 2: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
3,Design,Staff,12,"Senior database case 3: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
4,Design,Senior,20,"Senior database case 4: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
5,Design,Senior,12,"Senior database case 5: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
6,Design,Staff,12,"Senior database case 6: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
7,Design,Senior,12,"Senior database case 7: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
8,Design,Senior,20,"Senior database case 8: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
9,Design,Staff,12,"Senior database case 9: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
10,Design,Senior,12,"Senior database case 10: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
11,Transactions,Senior,12,"Senior database case 11: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
12,Transactions,Staff,20,"Senior database case 12: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
13,Transactions,Senior,12,"Senior database case 13: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
14,Transactions,Senior,12,"Senior database case 14: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
15,Transactions,Staff,12,"Senior database case 15: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
16,Transactions,Senior,20,"Senior database case 16: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
17,Transactions,Senior,12,"Senior database case 17: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
18,Transactions,Staff,12,"Senior database case 18: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
19,Transactions,Senior,12,"Senior database case 19: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
20,Transactions,Senior,20,"Senior database case 20: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
21,Performance,Staff,12,"Senior database case 21: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
22,Performance,Senior,12,"Senior database case 22: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
23,Performance,Senior,12,"Senior database case 23: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
24,Performance,Staff,20,"Senior database case 24: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
25,Performance,Senior,12,"Senior database case 25: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
26,Performance,Senior,12,"Senior database case 26: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
27,Performance,Staff,12,"Senior database case 27: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
28,Performance,Senior,20,"Senior database case 28: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
29,Performance,Senior,12,"Senior database case 29: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
30,Performance,Staff,12,"Senior database case 30: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
31,Evolution,Senior,12,"Senior database case 31: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
32,Evolution,Senior,20,"Senior database case 32: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
33,Evolution,Staff,12,"Senior database case 33: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
34,Evolution,Senior,12,"Senior database case 34: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
35,Evolution,Senior,12,"Senior database case 35: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
36,Evolution,Staff,20,"Senior database case 36: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
37,Evolution,Senior,12,"Senior database case 37: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
38,Evolution,Senior,12,"Senior database case 38: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
39,Security,Staff,12,"Senior database case 39: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
40,Security,Senior,20,"Senior database case 40: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
41,Security,Senior,12,"Senior database case 41: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
42,Security,Staff,12,"Senior database case 42: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
43,Security,Senior,12,"Senior database case 43: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
44,Security,Senior,20,"Senior database case 44: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
45,Security,Staff,12,"Senior database case 45: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
46,Recovery,Senior,12,"Senior database case 46: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
47,Recovery,Senior,12,"Senior database case 47: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
48,Recovery,Staff,20,"Senior database case 48: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
49,Recovery,Senior,12,"Senior database case 49: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
50,Recovery,Senior,12,"Senior database case 50: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
51,Recovery,Staff,12,"Senior database case 51: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
52,Recovery,Senior,20,"Senior database case 52: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
53,Recovery,Senior,12,"Senior database case 53: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
54,System case,Staff,12,"Senior database case 54: defend correctness scale failure and evolution",contract; invariant; evidence; recovery,feature listing without proof,adversarial tests; plan; reconciliation
